cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
2917	S1770	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2918	108	2	Organic compounds	0.5	Organoheterocyclic compounds	0.5	Benzopyrans	0.5	1-benzopyrans	0.5	Xanthones	0.5	Aromatic heteropolycyclic compounds	0.5
3980	108	2	Organic compounds	0.5	Organoheterocyclic compounds	0.5	Benzopyrans	0.5	1-benzopyrans	0.5	Xanthones	0.5	Aromatic heteropolycyclic compounds	0.5
2919	S1771	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
292	S1772	1	Organic compounds	1.0	Benzenoids	1.0	Benzene and substituted derivatives	1.0	Biphenyls and derivatives	1.0	Biphenyls and derivatives	1.0	Aromatic heteropolycyclic compounds	1.0
2920	S1773	1	Organic compounds	1.0	Alkaloids and derivatives	1.0	Aporphines	1.0		1.0	Aporphines	1.0	Aromatic heteropolycyclic compounds	1.0
2921	S1774	1	Organic compounds	1.0	Benzenoids	1.0	Benzene and substituted derivatives	1.0	Benzophenones	1.0	Benzophenones	1.0	Aromatic homomonocyclic compounds	1.0
2922	118	2	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Diazanaphthalenes	1.0	Benzodiazines	1.0	Quinazolines	1.0	Aromatic heteropolycyclic compounds	1.0
6423	118	2	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Diazanaphthalenes	1.0	Benzodiazines	1.0	Quinazolines	1.0	Aromatic heteropolycyclic compounds	1.0
2923	S1775	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2924	S1776	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2925	S1777	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2926	33	5	Organic compounds	0.8	Organic acids and derivatives	0.6	Carboxylic acids and derivatives	0.6	Tetracarboxylic acids and derivatives	0.4	Tetracarboxylic acids and derivatives	0.4	Aliphatic acyclic compounds	0.8
2928	33	5	Organic compounds	0.8	Organic acids and derivatives	0.6	Carboxylic acids and derivatives	0.6	Tetracarboxylic acids and derivatives	0.4	Tetracarboxylic acids and derivatives	0.4	Aliphatic acyclic compounds	0.8
3824	33	5	Organic compounds	0.8	Organic acids and derivatives	0.6	Carboxylic acids and derivatives	0.6	Tetracarboxylic acids and derivatives	0.4	Tetracarboxylic acids and derivatives	0.4	Aliphatic acyclic compounds	0.8
4028	33	5	Organic compounds	0.8	Organic acids and derivatives	0.6	Carboxylic acids and derivatives	0.6	Tetracarboxylic acids and derivatives	0.4	Tetracarboxylic acids and derivatives	0.4	Aliphatic acyclic compounds	0.8
